BW;BW-BLUE;BLUE;ORANGE;GRAY;YELLOW;BLUE2;GREEN
000000;222A35;1F3864;833C0B;525252;7F6000;1E4E79;375623
0C0C0C;323F4F;2F5496;C55A11;7B7B7B;BF9000;2E75B5;538135
171616;44546A;4472C4;ED7D31;A5A5A5;FFC000;5B9BD5;70AD47
262626;8496B0;8EAADB;F4B183;C9C9C9;FFD965;9CC3E5;A8D08D
3A3838;ADB9CA;B4C6E7;F7CBAC;DBDBDB;FEE599;BDD7EE;C5E0B3
3F3F3F;D6DCE4;D9E2F3;FBE5D5;EDEDED;FFF2CC;DEEBF6;E2EFD9
595959;64758D;698ECF;F0975A;B7B7B7;FFCC32;7BACDD;8CBE6A
757070;;;;;;;
7F7F7F;;;;;;;
A5A5A5;;;;;;;
AEABAB;;;;;;;
BFBFBF;;;;;;;
D0CECE;;;;;;;
D8D8D8;;;;;;;
E7E6E6;;;;;;;
F2F2F2;;;;;;;
FFFFFF;;;;;;;
929292;;;;;;;
